name,year,genre1,genre2,Metacritic,IMDB,Rotten Tomatoes
The Revenant,2015,Adventure,Drama,76,80,80
 The Theory of Everything,2014,Biography,Drama,69,77,78
 Dallas Buyers Club,2013,Biography,Drama,84,80,93
 Lincoln,2012,Biography,Drama,86,74,90
 The Artist,2011,Comedy,Drama,89,79,95
 The King's Speech,2010,Biography,Drama,88,80,95
 Crazy Heart,2009,Drama,Music,83,73,91
 Milk,2008,Biography,Drama,84,76,94
 There Will Be Blood,2007,Drama,,93,81,91
 The Last King of Scotland,2006,Biography,Drama,74,77,87
 Capote,2005,Biography,Crime,88,74,90
 Ray,2004,Biography,Drama,73,77,81
 Mystic River,2003,Crime,Drama,84,80,87
 The Pianist,2002,Biography,Drama,85,85,95
 Training Day,2001,Crime,Drama,69,77,72
 Gladiator,2000,Action,Drama,67,85,77
 American Beauty,1999,Drama,Romance,86,84,88
 Life Is Beautiful,1998,Comedy,Drama,59,86,80
 As Good As It Gets,1997,Comedy,Drama,67,77,84
 Shine,1996,Biography,Drama,87,77,91
 Leaving Las Vegas,1995,Drama,Romance,82,76,90