Film,Year,Ceremony,Award,Winner,Name,Budget,Revenue,Genre,City ,Lat ,Lon,Imdb,Metacritic,Rottentomatoes
Darkest Hour,2017,90,Actor in a Leading Role,1,Gary Oldman ,30000000,64626786,Biography,,,,,,
Manchester by the Sea,2016,89,Actor in a Leading Role,1,Casey Affleck ,9000000,75026965,Drama,,,,,,
The Revenant,2015,88,Actor in a Leading Role,1,Leonardo DiCaprio,1000500,55561162,Drama,,,,,,
The Theory of Everything,2014,87,Actor in a Leading Role,1,Eddie Redmayne,15000000,123726688,Biography,,,,,,
Dallas Buyers Club,2013,86,Actor in a Leading Role,1,Matthew McConaughey,5000000,55198285,Biography,,,,,,
Lincoln,2012,85,Actor in a Leading Role,1,Daniel Day-Lewis,65000000,275293450,Biography,,,,,,
The Artist,2011,84,Actor in a Leading Role,1,Jean Dujardin,15000000,133432856,Comedy,,,,,,
The King's Speech,2010,83,Actor in a Leading Role,1,Colin Firth,15000000,414211549,Biography,,,,,,
Crazy Heart,2009,82,Actor in a Leading Role,1,Jeff Bridges,7000000,39462438,Drama,,,,,,
Milk,2008,81,Actor in a Leading Role,1,Sean Penn,20000000,54586584,Biography,,,,,,
There Will Be Blood,2007,80,Actor in a Leading Role,1,Daniel Day-Lewis,25000000,77208711,Drama,,,,,,
The Last King of Scotland,2006,79,Actor in a Leading Role,1,Forest Whitaker,6000000,48027970,Biography,,,,,,
Capote,2005,78,Actor in a Leading Role,1,Philip Seymour Hoffman,7000000,49084830,Biography,,,,,,
Ray,2004,77,Actor in a Leading Role,1,Jamie Foxx,40000000,124731534,Biography,,,,,,
Mystic River,2003,76,Actor in a Leading Role,1,Sean Penn,25000000,156822020,Crime,,,,,,
The Pianist,2002,75,Actor in a Leading Role,1,Adrien Brody,35000000,120072577,Biography,,,,,,
Training Day,2001,74,Actor in a Leading Role,1,Denzel Washington,45000000,104876233,Crime,,,,,,
Gladiator,2000,73,Actor in a Leading Role,1,Russell Crowe,103000000,457640427,Action,,,,,,
American Beauty,1999,72,Actor in a Leading Role,1,Kevin Spacey,15000000,356296601,Drama,,,,,,
Life Is Beautiful,1998,71,Actor in a Leading Role,1,Roberto Benigni,20000000,229400000,Comedy,,,,,,
As Good as It Gets,1997,70,Actor in a Leading Role,1,Jack Nicholson,50000000,314178011,Comedy,,,,,,
Shine,1996,69,Actor in a Leading Role,1,Geoffrey Rush,5000500,35811509,Biography,,,,,,
Leaving Las Vegas,1995,68,Actor in a Leading Role,1,Nicolas Cage,3600000,49800000,Drama,,,,,,
Forrest Gump,1994,67,Actor in a Leading Role,1,Tom Hanks,55000000,677945399,Drama,,,,,,
Philadelphia,1993,66,Actor in a Leading Role,1,Tom Hanks,26000000,206678440,Drama,,,,,,
Scent of a Woman,1992,65,Actor in a Leading Role,1,Al Pacino,31000000,134095253,Drama,,,,,,
"Three Billboards Outside Ebbing, Missouri",2017,90,Actress in a Leading Role,1,Frances McDormand ,1500000,157880842,Crime,,,,,,
La La Land,2016,89,Actress in a Leading Role,1,Emma Stone ,30000000,445435700,Comedy,,,,,,
Room,2015,88,Actress in a Leading Role,1,Brie Larson,6000000,35401758,Drama,,,,,,
Still Alice,2014,87,Actress in a Leading Role,1,Julianne Moore,5000000,43884652,Drama,,,,,,
Blue Jasmine,2013,86,Actress in a Leading Role,1,Cate Blanchett,18000000,99206215,Drama,,,,,,
Silver Linings Playbook,2012,85,Actress in a Leading Role,1,Jennifer Lawrence,21000000,205738714,Comedy,,,,,,
The Iron Lady,2011,84,Actress in a Leading Role,1,Meryl Streep,13000000,114956699,Biography,,,,,,
Black Swan,2010,83,Actress in a Leading Role,1,Natalie Portman,13000000,327803731,Drama,,,,,,
The Blind Side,2009,82,Actress in a Leading Role,1,Sandra Bullock,29000000,309208309,Biography,,,,,,
The Reader,2008,81,Actress in a Leading Role,1,Kate Winslet,32000000,113019290,Drama,,,,,,
La Vie en Rose,2007,80,Actress in a Leading Role,1,Marion Cotillard,25000000,88613761,Biography,,,,,,
The Queen,2006,79,Actress in a Leading Role,1,Helen Mirren,15000000,123384128,Biography,,,,,,
Walk the Line,2005,78,Actress in a Leading Role,1,Reese Witherspoon,28000000,186438883,Biography,,,,,,
Million Dollar Baby,2004,77,Actress in a Leading Role,1,Hilary Swank,30000000,216763646,Drama,,,,,,
Monster,2003,76,Actress in a Leading Role,1,Charlize Theron,8000000,60378584,Biography,,,,,,
The Hours,2002,75,Actress in a Leading Role,1,Nicole Kidman,25000000,41597830,Drama,,,,,,
Monster's Ball,2001,74,Actress in a Leading Role,1,Halle Berry,4000000,44909486,Drama,,,,,,
Erin Brockovich,2000,73,Actress in a Leading Role,1,Julia Roberts,52000000,256271286,Biography,,,,,,
Boys Don't Cry,1999,72,Actress in a Leading Role,1,Hilary Swank,2000000,11540607,Biography,,,,,,
Shakespeare in Love,1998,71,Actress in a Leading Role,1,Gwyneth Paltrow,25000000,289317794,Comedy,,,,,,
As Good as It Gets,1997,70,Actress in a Leading Role,1,Helen Hunt,50000000,314178011,Comedy,,,,,,
Fargo,1996,69,Actress in a Leading Role,1,Frances McDormand,7000000,60611975,Crime,,,,,,
Dead Man Walking,1995,68,Actress in a Leading Role,1,Susan Sarandon,11000000,39363635,Crime,,,,,,
Blue Sky,1994,67,Actress in a Leading Role,1,Jessica Lange,16000000,3359465,Drama,,,,,,
The Piano,1993,66,Actress in a Leading Role,1,Holly Hunter,7000000,116700000,Drama,,,,,,
Howards End,1992,65,Actress in a Leading Role,1,Emma Thompson,8000000,25966555,Drama,,,,,,
The Shape of Water,2017,90,Best Picture,1,"Guillermo del Toro and J. Miles Dale, Producers ",1940000,194349972,Adventure,,,,,,
Moonlight,2016,89,Best Picture,1,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",4000000,65046687,Drama,,,,,,
Spotlight,2015,88,Best Picture,1,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",20000000,88346473,Crime,,,,,,
Birdman or (The Unexpected Virtue of Ignorance) ,2014,87,Best Picture,1,"Alejandro G. IÃ±Ã¡rritu, John Lesher and James W. Skotchdopole, Producers",18000000,103215094,Comedy,,,,,,
12 Years a Slave ,2013,86,Best Picture,1,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",20000000,187000000,Biography,,,,,,
Argo ,2012,85,Best Picture,1,"Grant Heslov, Ben Affleck and George Clooney, Producers",44500000,232324128,Biography,,,,,,
The Artist ,2011,84,Best Picture,1,"Thomas Langmann, Producer",15000000,133432856,Comedy,,,,,,
The King's Speech ,2010,83,Best Picture,1,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",15000000,414211549,Biography,,,,,,
The Hurt Locker ,2009,82,Best Picture,1,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",15000000,42000000,Drama,,,,,,
Slumdog Millionaire ,2008,81,Best Picture,1,"Christian Colson, Producer",15000000,377910544,Drama,,,,,,
No Country for Old Men,2007,80,Best Picture,1,"Scott Rudin, Ethan Coen and Joel Coen, Producers",25000000,171600000,Crime,,,,,,
The Departed,2006,79,Best Picture,1,"Graham King, Producer",90000000,289847354,Crime,,,,,,
Crash,2005,78,Best Picture,1,"Paul Haggis and Cathy Schulman, Producers",10000000,98401061,Drama,,,,,,
Million Dollar Baby ,2004,77,Best Picture,1,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",30000000,216763646,Drama,,,,,,
The Lord of the Rings: The Return of the King ,2003,76,Best Picture,1,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",79000000,926287400,Adventure,,,,,,
Chicago ,2002,75,Best Picture,1,"Martin Richards, Producer",45000000,306776732,Comedy,,,,,,
A Beautiful Mind,2001,74,Best Picture,1,"Brian Grazer and Ron Howard, Producers",60000000,313542341,Biography,,,,,,
Gladiator ,2000,73,Best Picture,1,"Douglas Wick, David Franzoni and Branko Lustig, Producers",103000000,457640427,Action,,,,,,
American Beauty ,1999,72,Best Picture,1,"Bruce Cohen and Dan Jinks, Producers",15000000,356296601,Drama,,,,,,
Shakespeare in Love,1998,71,Best Picture,1,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",25000000,289317794,Comedy,,,,,,
Titanic,1997,70,Best Picture,1,"James Cameron and Jon Landau, Producers",200000000,1845034188,Drama,,,,,,
The English Patient,1996,69,Best Picture,1,"Saul Zaentz, Producer",27000000,231976425,Drama,,,,,,
Braveheart,1995,68,Best Picture,1,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",72000000,210000000,Biography,,,,,,
Forrest Gump,1994,67,Best Picture,1,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",55000000,677945399,Drama,,,,,,
Schindler's List,1993,66,Best Picture,1,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",22000000,321365567,Biography,,,,,,
Unforgiven,1992,65,Best Picture,1,"Clint Eastwood, Producer",14000000,159157447,Western,,,,,,
The Shape of Water,2017,90,Directing,1,Guillermo del Toro,1940000,194349972,Adventure,,,,,,
La La Land,2016,89,Directing,1,Damien Chazelle,30000000,445435700,Comedy,,,,,,
The Revenant,2015,88,Directing,1,Alejandro G. IÃ±Ã¡rritu,1000500,55561162,Drama,,,,,,
Birdman or (The Unexpected Virtue of Ignorance) ,2014,87,Directing,1,Alejandro G. IÃ±Ã¡rritu,18000000,103215094,Comedy,,,,,,
Gravity ,2013,86,Directing,1,Alfonso CuarÃ_n,20000000,187000000,Sci-Fi,,,,,,
Life of Pi ,2012,85,Directing,1,Ang Lee,120000000,609016565,Adventure,,,,,,
The Artist ,2011,84,Directing,1,Michel Hazanavicius,15000000,133432856,Comedy,,,,,,
The King's Speech ,2010,83,Directing,1,Tom Hooper,15000000,414211549,Biography,,,,,,
The Hurt Locker ,2009,82,Directing,1,Kathryn Bigelow,15000000,42000000,Drama,,,,,,
Slumdog Millionaire ,2008,81,Directing,1,Danny Boyle,15000000,377910544,Drama,,,,,,
No Country for Old Men,2007,80,Directing,1,Joel Coen and Ethan Coen,25000000,171600000,Crime,,,,,,
The Departed,2006,79,Directing,1,Martin Scorsese,90000000,289847354,Crime,,,,,,
Brokeback Mountain,2005,78,Directing,1,Ang Lee,14000000,178043761,Drama,,,,,,
Million Dollar Baby ,2004,77,Directing,1,Clint Eastwood,30000000,216763646,Drama,,,,,,
The Lord of the Rings: The Return of the King ,2003,76,Directing,1,Peter Jackson,79000000,926287400,Adventure,,,,,,
The Pianist,2002,75,Directing,1,Roman Polanski,35000000,120072577,Biography,,,,,,
A Beautiful Mind,2001,74,Directing,1,Ron Howard,60000000,313542341,Biography,,,,,,
Traffic ,2000,73,Directing,1,Steven Soderbergh,48000000,207515725,Crime,,,,,,
American Beauty ,1999,72,Directing,1,Sam Mendes,15000000,356296601,Drama,,,,,,
Saving Private Ryan,1998,71,Directing,1,Steven Spielberg,70000000,481840909,Action,,,,,,
Titanic,1997,70,Directing,1,James Cameron,200000000,1845034188,Drama,,,,,,
The English Patient,1996,69,Directing,1,Anthony Minghella,27000000,231976425,Drama,,,,,,
Braveheart,1995,68,Directing,1,Mel Gibson,72000000,210000000,Biography,,,,,,
Forrest Gump,1994,67,Directing,1,Robert Zemeckis,55000000,677945399,Drama,,,,,,
Schindler's List,1993,66,Directing,1,Steven Spielberg,22000000,321365567,Biography,,,,,,
Unforgiven,1992,65,Directing,1,Clint Eastwood,14000000,159157447,Western,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,